olmogdn21l8d0drnestp30k0.001lr	>> early stop 0.6733333333333333			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.99		lr: 0.001
olmogdn21l8d0drnestp30k0.0001lr	reach max step			eval_len2-100_acc: 0.982		eval_len101-200_acc: 0.566		eval_len201-300_acc: 0.049		lr: 0.0001
olmogdn21l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.512		eval_len201-300_acc: 0.008		lr: 0.0001
olmogdn21l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.996		eval_len101-200_acc: 0.6345		eval_len201-300_acc: 0.034		lr: 0.0001
olmogdn21l8d0.1drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.9175		lr: 0.001
olmogdn21l8d0.1drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9885		eval_len201-300_acc: 0.958		lr: 0.001
olmogdn21l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.995		eval_len101-200_acc: 0.085		eval_len201-300_acc: 0.0		lr: 0.0001
olmogdn21l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.9965		eval_len101-200_acc: 0.0365		eval_len201-300_acc: 0.0		lr: 0.0001
olmogdn21l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.998		eval_len101-200_acc: 0.0455		eval_len201-300_acc: 0.0		lr: 0.0001
olmogdn21l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.999		eval_len101-200_acc: 0.0675		eval_len201-300_acc: 0.0		lr: 0.0001
olmogdn21l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.9995		eval_len101-200_acc: 0.062		eval_len201-300_acc: 0.0		lr: 0.0001
olmogdn21l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.997		eval_len201-300_acc: 0.7635		lr: 0.001
olmogdn21l16d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.953		eval_len201-300_acc: 0.523		lr: 0.0001
olmogdn21l16d0.1drnestp30k0.001lr	>> early stop 0.43333333333333335			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9975		eval_len201-300_acc: 0.9765		lr: 0.001
olmogdn21l16d0.1drnestp30k0.001lr	>> early stop 0.43666666666666665			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9965		eval_len201-300_acc: 0.9825		lr: 0.001
olmogdn21l16d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.942		eval_len201-300_acc: 0.284		lr: 0.0001
olmogdn21l16d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9445		eval_len201-300_acc: 0.2745		lr: 0.0001
olmogdn21l16d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 0.999		eval_len101-200_acc: 0.777		eval_len201-300_acc: 0.3895		lr: 0.0001
olmogdn22l8d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.8		eval_len201-300_acc: 0.0895		lr: 0.001
olmogdn22l8d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.8995		eval_len201-300_acc: 0.193		lr: 0.001
olmogdn22l8d0drnestp30k0.001lr	reach max step			eval_len2-100_acc: 0.969		eval_len101-200_acc: 0.884		eval_len201-300_acc: 0.846		lr: 0.001
olmogdn22l8d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9695		eval_len201-300_acc: 0.529		lr: 0.001
olmogdn22l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.7305		eval_len201-300_acc: 0.1105		lr: 0.0001
olmogdn22l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.681		eval_len201-300_acc: 0.1135		lr: 0.0001
olmogdn22l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.7015		eval_len201-300_acc: 0.121		lr: 0.0001
olmogdn22l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.727		eval_len201-300_acc: 0.129		lr: 0.0001
olmogdn22l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.7095		eval_len201-300_acc: 0.131		lr: 0.0001
olmogdn22l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.7125		eval_len201-300_acc: 0.1385		lr: 0.0001
olmogdn22l8d0.1drnestp30k0.001lr	>> early stop 0.3433333333333333			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.999		lr: 0.001
olmogdn22l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.6815		lr: 0.0001
olmogdn22l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.999		eval_len201-300_acc: 0.915		lr: 0.0001
olmogdn22l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 0.998		eval_len101-200_acc: 0.983		eval_len201-300_acc: 0.9445		lr: 0.001
olmogdn22l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 0.9985		eval_len101-200_acc: 0.99		eval_len201-300_acc: 0.794		lr: 0.001
